#position;input;title
1.3.2;грунт, грунт замусоренный (техн.);223.10 ₽
1.2.1;до 10 км;344.10 ₽
1;Земляные работы;43.00 ₽
2.1.2;песок;123.00 ₽
1.2.4;до 40 км;1045.00 ₽
2.1.8;щебень фр.5-20;6783.00 ₽
2.1.5;основание из щебня;1345.00 ₽
1.2.2;до 20 км;567.43 ₽
1.3.1;грунт, грунт замусоренный (экологич.чистый);654.40 ₽
2.1.4;ПГС;735.00 ₽
2.1.7;щебень фр.20-40;4112.00 ₽
2;Устройство основания ("пирога");534.50 ₽
1.2.3;до 30 км;979.00 ₽
2.1.6;щебень фр.40-70;983.00 ₽
1.2;Вывоз грунта;3554.00 ₽
1.4;Засыпка;7648.56 ₽
2.1.3;основание из ПГС;7895.00 ₽
2.2;Устройство бетонной подготовки;113.00 ₽
1.2.5;до 50 км;1287.00 ₽
2.1.1;основание из песка;673.00 ₽
1.1;Разработка грунта комплексная (с учетом погрузки в автомобили-самосвалы, доработки вручную, планировки и т.п.), вывоз до 1 км;4123.00 ₽
1.3;Утилизация грунта;1000.00 ₽
2.1;Устройство основания;1123.00 ₽
